link_id	mass_base	mass_prev	mass_new	boost	tier_prev	tier_new	top_contributor_link_id
b66188ab-1a66-4365-8cbe-5cdaf69317e3+1bd320eb-7115-40b1-81e9-c10f717f3f75+4075e064-ec4e-4481-a413-25531b3c6b22+e7d5d9c9-ed6c-41b5-a56b-1df5a1dcd45b	6.712	6.712	6.712	0.000	link	link	
9ed37619-2f42-4627-ac53-0e0768eb1e7d+81d4d1d4-0962-49ed-a610-319e3d5fc044+988c05d5-c93f-47d9-8d49-816f72aa9ccf+117d3999-59c8-475a-aafd-5bac1142cbb7	2.128	2.128	2.128	0.000	link	link	
39f95dbf-f3eb-459b-b975-bfc122149628+a8361df1-5565-4c5e-8237-7b513c56a7d2+728b49ba-def7-47b8-b21d-efa5b6fb603c	2.044	2.044	3.200	1.156	link	link	97cd543b-5739-40a5-9ae0-923287957b10+6bf0b560-ed82-4c44-b8ce-14300bcfe835
bbae1c6c-7c71-4f53-9a2f-b8a5f4ee03ec+9c7521da-ffdd-49cd-a644-e77d5928689e+557e249e-1266-4ff6-8e3e-e26698f055f3+12cb132b-8882-458f-9dfb-378dfd40da62	3.466	3.466	3.466	0.000	link	link	
c8534780-767c-4670-92d2-6d31e69af91e+ee8d6411-37e6-4241-af4b-18f2f62a5446+c24adfe9-c04e-4deb-9805-2f6d8122310c+af90305c-8bec-4bd5-8d59-abece52b2cfe	6.834	6.834	6.834	0.000	link	link	
75d7cd90-8c1c-4fbd-a488-34c22074c469+6d45a15f-999b-4602-9caf-91651e97750b+03466c7b-c9e4-48dd-b764-6d68b02049c5	3.765	3.765	3.765	0.000	link	link	
0dc1abc8-9aa8-418f-8b67-f4226893b976+019cb20c-aae2-4848-ac64-5ae94ec41df3+559811d7-c6e4-4390-9aef-856d4e7eede7+82896759-e99b-491a-980f-a35aabeeafe6	1.593	1.593	1.593	0.000	link	link	
3736c7b2-3055-42cf-8eaa-09554311ba65+42826b9f-abfa-479c-b6a7-f89792892c56+b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77	7.529	7.529	15.891	8.362	link	link	2c4d26f2-f2db-463e-b959-d09d75170dd2
9511bbc6-c62e-4a72-bb17-93226565e37c+71c967d2-b3c3-4bed-9dad-2ce78db74e81+50c01b24-070c-4398-be08-dd799ac54102+7ea93f3d-d20a-48bc-806f-e24055e0e0e5	10.975	10.975	19.091	8.116	link	link	17dcd45c-be78-4194-bfe3-de8d4251350d+69a39a55-f465-46fe-8f63-6e8f797315f5
d95fe032-6714-419d-9c1f-5d7c8db14766+ba721fdf-eb75-4c27-b520-dfe419417cd2+33d70d59-662d-4ee6-aed1-f90dd058575f+20295f0e-9fce-4ccc-85d2-099cee61af98	2.579	2.579	2.579	0.000	link	link	
