from_link_id	to_link_id	strength_ll	contrib	distance	lexical
97cd543b-5739-40a5-9ae0-923287957b10+6bf0b560-ed82-4c44-b8ce-14300bcfe835	39f95dbf-f3eb-459b-b975-bfc122149628+a8361df1-5565-4c5e-8237-7b513c56a7d2+728b49ba-def7-47b8-b21d-efa5b6fb603c	0.785542	1.445354	5.000000	0.081081
2c4d26f2-f2db-463e-b959-d09d75170dd2	3736c7b2-3055-42cf-8eaa-09554311ba65+42826b9f-abfa-479c-b6a7-f89792892c56+b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77	0.764517	6.532681	5.000000	0.045455
286ab627-b406-4a44-b3b8-a9706f047828	3736c7b2-3055-42cf-8eaa-09554311ba65+42826b9f-abfa-479c-b6a7-f89792892c56+b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77	0.912696	3.919247	3.000000	0.022727
17dcd45c-be78-4194-bfe3-de8d4251350d+69a39a55-f465-46fe-8f63-6e8f797315f5	9511bbc6-c62e-4a72-bb17-93226565e37c+71c967d2-b3c3-4bed-9dad-2ce78db74e81+50c01b24-070c-4398-be08-dd799ac54102+7ea93f3d-d20a-48bc-806f-e24055e0e0e5	0.821262	10.145107	4.000000	0.000000
b69643cf-0cce-494c-8041-bd4804448530+faac8167-3685-4d60-8894-aee15d2a1f1b	a8e838f2-ba3d-4fb0-af62-665fec8bcf96+3abdfa03-f873-4812-b7b9-c49962afa844+5d965d81-5804-4d15-8fe3-dadc46eb4efe+16553bf2-bb59-4894-aa63-b80a1714351e	0.886038	6.177782	4.000000	0.098592
7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2	400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7+5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d+2a9b7233-64c2-4d35-9c74-efcabd60494d	0.989797	13.366439	1.000000	0.000000
b3ec63f0-4fe4-4b40-a1ee-3fbda184a07c+0b3f7ee5-9a0a-46b2-87d5-142c9d9280bf	400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7+5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d+2a9b7233-64c2-4d35-9c74-efcabd60494d	0.850463	10.303351	4.000000	0.044444
271e453f-9948-48b0-94cf-fdf28eede70b	400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7+5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d+2a9b7233-64c2-4d35-9c74-efcabd60494d	0.658953	7.133941	6.000000	0.011111
14dc04ff-9dfe-4411-91d2-fb38e6e04ab3	bcbd6ab4-b034-4580-9903-77d39c560e29+29826d4e-37ee-4b03-8b89-7981b1a547ae+5e22240d-0e35-4388-ad0f-664db22f5ded+bfdf4854-fa49-4c9e-b4a5-964a1093e816	0.506780	2.072837	8.000000	0.016949
e6ee28a6-b0e0-42f7-9aab-39026189a4e6	ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701+0f88535c-8ffa-419d-a064-bf455b3c10a6	0.989797	5.926689	1.000000	0.000000
b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701+0f88535c-8ffa-419d-a064-bf455b3c10a6	0.545714	2.685928	8.000000	0.114286
ff491b3c-084f-421c-8e2f-49208a633b0a+d9e864a3-ecf6-4438-b2d7-3291146cd19b	9392d3b2-1dc9-4a6c-b90f-0d0ad44277ef+d1e4effe-518d-4154-a29f-b763bb4b3e86+6efb3d03-583b-41b0-9758-30d35436408a	0.891157	4.238218	4.000000	0.106383
4a842049-b5e1-4379-90e4-0ab8f20aec40	9392d3b2-1dc9-4a6c-b90f-0d0ad44277ef+d1e4effe-518d-4154-a29f-b763bb4b3e86+6efb3d03-583b-41b0-9758-30d35436408a	0.754554	3.445918	5.000000	0.028571
a2583c9b-e055-443f-9222-19f9fc85b011	561be1e9-150c-46db-b28b-568c5a463d65+b741aaa0-7f69-44be-a50e-801ececef9ec+d27bfdfb-29ef-4a7a-b5ce-70853b7ac2c6	0.989797	13.111402	1.000000	0.000000
2fa402e6-936e-46d7-8d21-eb117a77c395	d4026618-d785-4797-ba4b-f5348b35a9ac+81a0ba3d-6a0c-44d4-b733-fa4baf7499bc+33d26595-933d-4fea-8783-66e9f787a6f8+808d34d4-3c48-4347-a1f5-886c8d8c0101	0.911987	17.403673	3.000000	0.021739
342aad81-bb41-4643-9859-e8c221826d32+96e9866d-d6a9-4aed-b025-18c33eeb98bd	d4026618-d785-4797-ba4b-f5348b35a9ac+81a0ba3d-6a0c-44d4-b733-fa4baf7499bc+33d26595-933d-4fea-8783-66e9f787a6f8+808d34d4-3c48-4347-a1f5-886c8d8c0101	0.572919	10.979094	7.000000	0.000000
db75e17f-8e71-45f3-91cb-9fa95513fee8+fbab2af1-9abf-4d96-9e2d-638a3449585b	629985c0-a2a0-47c4-9c70-f27d246e2aca+d65b533c-c642-492a-a3dc-126cc9df2241+c6124ba7-a17f-42c0-8154-986b980c93a3	0.777930	5.619244	5.000000	0.068182
1662ebf6-5901-491a-b17d-9a1267f81884	4c51bc38-f31d-419c-8ac8-16e90002b472+11cd8d35-9d20-496d-937e-6e48e1f04829+ca5725ed-069d-4441-bd92-ba391029c106	0.737692	5.402253	5.000000	0.000000
1614259e-c197-4542-b694-0c4ad173693b	0172614a-7976-4e89-acb5-e3ae419e3df4+3046803e-bc6a-48ef-8a9f-220b2d77cd33+1a512002-f84b-408f-a61b-5727882beb23	0.653147	2.745446	6.000000	0.000000
d850c055-7aa2-4652-ad66-7e01abd0282f	29fd9e06-d6c7-47d4-9171-6d272f4eb682+fae7e380-065f-4665-a980-07f7da2396eb+a5a2c5e4-eff9-4830-8a27-c030ca79a41a+5a8de067-ae95-4b87-8f2e-a608371bf51c	0.954776	5.062206	2.000000	0.000000
f7f71261-f682-49fc-835a-7ab51bc31df3	28aad481-4917-4009-a0f9-0bb576288c90+70af8928-b1c2-4ae0-8d92-86c66e8ade43+2aa3091a-c56b-46cc-be95-34bb955758d3	1.000000	8.300761	0.000000	0.000000
9a62878d-15be-40a9-a597-9164abf65db2	28aad481-4917-4009-a0f9-0bb576288c90+70af8928-b1c2-4ae0-8d92-86c66e8ade43+2aa3091a-c56b-46cc-be95-34bb955758d3	0.751105	4.847632	5.000000	0.022727
9997e5c8-75f5-4208-946e-2c74d1eb281e+1e41597e-500f-4990-9d64-adca4df366b1	f9f77e33-ebe2-44db-940e-4f016f739074+80b4e1a0-94b1-499d-9c85-4c532a2f4501+4c29410c-8525-48f9-9a0c-bb4fe0748ee7	0.522222	2.990453	8.000000	0.055556
b0a8ea10-14ad-43a2-a3f7-cea38c74740e	bfee0b3f-f6d8-4f0b-a2b6-9790114249ab+a38a05fb-1f5c-4335-a178-4add07670274+87fcb001-1c0c-462c-9332-e866d113b041	0.919531	2.210944	3.000000	0.032258
d9c7f754-f601-4965-a1d2-3cbee05bd461	7e7fddcf-ed07-4ab5-9e0c-b5c6c5a1e43b+ad413036-7819-48ac-9d8f-4a29933b381c+a6ff3532-8b02-4026-98d0-48260462a69d	0.954776	3.093047	2.000000	0.000000
35d0d8bb-db75-4246-832f-fca184180355	7e7fddcf-ed07-4ab5-9e0c-b5c6c5a1e43b+ad413036-7819-48ac-9d8f-4a29933b381c+a6ff3532-8b02-4026-98d0-48260462a69d	0.653147	1.884194	6.000000	0.000000
0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936	9d98abe7-28a0-409c-ac90-bf328c85a5d4+392ec4e4-4772-4917-9f97-8cc7712947cd+9417c4e4-6175-47fd-a671-4febe2880c13	0.500000	4.168939	8.000000	0.000000
02f19fc5-e16f-4686-b08a-9b56c5525d26	78789b53-4982-44e8-b53c-067923c1d101+56640e8a-0f33-4d22-b2fa-43610074360a+19ea1043-07ba-4944-a647-68572ad533f0	0.579112	1.639599	7.000000	0.013514
0ed74c20-a5eb-45bc-b3dc-d2365666d9ca	c4bed78f-1ed0-48c9-a3a3-e5842de9e740+f3059f31-259b-498e-b86d-f8ef10734d40	0.572919	1.909780	7.000000	0.000000
f9f77e33-ebe2-44db-940e-4f016f739074+80b4e1a0-94b1-499d-9c85-4c532a2f4501+4c29410c-8525-48f9-9a0c-bb4fe0748ee7	9997e5c8-75f5-4208-946e-2c74d1eb281e+1e41597e-500f-4990-9d64-adca4df366b1	0.522222	1.920674	8.000000	0.055556
39f95dbf-f3eb-459b-b975-bfc122149628+a8361df1-5565-4c5e-8237-7b513c56a7d2+728b49ba-def7-47b8-b21d-efa5b6fb603c	97cd543b-5739-40a5-9ae0-923287957b10+6bf0b560-ed82-4c44-b8ce-14300bcfe835	0.785542	1.605710	5.000000	0.081081
a8e838f2-ba3d-4fb0-af62-665fec8bcf96+3abdfa03-f873-4812-b7b9-c49962afa844+5d965d81-5804-4d15-8fe3-dadc46eb4efe+16553bf2-bb59-4894-aa63-b80a1714351e	b69643cf-0cce-494c-8041-bd4804448530+faac8167-3685-4d60-8894-aee15d2a1f1b	0.886038	5.838364	4.000000	0.098592
9392d3b2-1dc9-4a6c-b90f-0d0ad44277ef+d1e4effe-518d-4154-a29f-b763bb4b3e86+6efb3d03-583b-41b0-9758-30d35436408a	ff491b3c-084f-421c-8e2f-49208a633b0a+d9e864a3-ecf6-4438-b2d7-3291146cd19b	0.891157	4.638770	4.000000	0.106383
4a842049-b5e1-4379-90e4-0ab8f20aec40	ff491b3c-084f-421c-8e2f-49208a633b0a+d9e864a3-ecf6-4438-b2d7-3291146cd19b	0.989797	4.520232	1.000000	0.000000
f6af0064-6af4-4531-af1f-4dd901dfe895	4eea71d1-20f3-46af-8d16-3e242ce9ad14+f55b33d7-d96a-41fb-ba84-56af1e27e71b	0.737692	1.847122	5.000000	0.000000
e6ee28a6-b0e0-42f7-9aab-39026189a4e6	b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	0.572919	3.430513	7.000000	0.000000
ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701+0f88535c-8ffa-419d-a064-bf455b3c10a6	b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	0.545714	3.363919	8.000000	0.114286
554aba7c-6e38-4652-ba21-7fc873169eb1	b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	0.653147	2.361667	6.000000	0.000000
e5aefce5-a787-4390-822f-e73b391811f0	d454a047-7f96-4e46-b9fa-ab6a7bd3ad24+a93be689-6b6a-4e7d-95d6-49cf36f091e7	0.989797	2.654205	1.000000	0.000000
7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2	b3ec63f0-4fe4-4b40-a1ee-3fbda184a07c+0b3f7ee5-9a0a-46b2-87d5-142c9d9280bf	0.896398	12.105160	3.000000	0.000000
400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7+5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d+2a9b7233-64c2-4d35-9c74-efcabd60494d	b3ec63f0-4fe4-4b40-a1ee-3fbda184a07c+0b3f7ee5-9a0a-46b2-87d5-142c9d9280bf	0.850463	11.529251	4.000000	0.044444
271e453f-9948-48b0-94cf-fdf28eede70b	b3ec63f0-4fe4-4b40-a1ee-3fbda184a07c+0b3f7ee5-9a0a-46b2-87d5-142c9d9280bf	0.954776	10.336579	2.000000	0.000000
2fa402e6-936e-46d7-8d21-eb117a77c395	342aad81-bb41-4643-9859-e8c221826d32+96e9866d-d6a9-4aed-b025-18c33eeb98bd	0.821262	15.672349	4.000000	0.000000
fb6def1e-867f-4813-aeda-5911ac058efd	342aad81-bb41-4643-9859-e8c221826d32+96e9866d-d6a9-4aed-b025-18c33eeb98bd	0.821262	13.189900	4.000000	0.000000
d4026618-d785-4797-ba4b-f5348b35a9ac+81a0ba3d-6a0c-44d4-b733-fa4baf7499bc+33d26595-933d-4fea-8783-66e9f787a6f8+808d34d4-3c48-4347-a1f5-886c8d8c0101	342aad81-bb41-4643-9859-e8c221826d32+96e9866d-d6a9-4aed-b025-18c33eeb98bd	0.572919	8.469961	7.000000	0.000000
0f4474f2-a50b-4bd7-aa4c-b9abbfcf25c7+5db0ae7d-ea23-4db8-816f-b9b2cab10353	27d339b5-7480-482c-a472-8b52d5c4d78a+668fc0dc-2f79-4369-a455-3454e03d6c2b	0.896398	2.724017	3.000000	0.000000
9511bbc6-c62e-4a72-bb17-93226565e37c+71c967d2-b3c3-4bed-9dad-2ce78db74e81+50c01b24-070c-4398-be08-dd799ac54102+7ea93f3d-d20a-48bc-806f-e24055e0e0e5	17dcd45c-be78-4194-bfe3-de8d4251350d+69a39a55-f465-46fe-8f63-6e8f797315f5	0.821262	9.013572	4.000000	0.000000
