left_id	right_id	left_center	right_center	center_distance	lexical_score	strength_bridge
4c51bc38-f31d-419c-8ac8-16e90002b472+11cd8d35-9d20-496d-937e-6e48e1f04829	ca5725ed-069d-4441-bd92-ba391029c106	1847.000000	1857.000000	10.000000	0.105263	1.111397
09b1d91e-aa02-4323-872f-9b335b4ba33b	4e5d4cc3-f67f-4ec1-bdf9-93d534172246+fb708ea6-0b4b-4173-886f-ec803ed780ad	483.000000	497.000000	14.000000	0.159091	1.110526
0172614a-7976-4e89-acb5-e3ae419e3df4+3046803e-bc6a-48ef-8a9f-220b2d77cd33	1a512002-f84b-408f-a61b-5727882beb23	1553.000000	1557.000000	4.000000	0.058824	1.104524
fb288f03-d57d-4971-9c22-20d0574ecc34	45b99f2c-d2a3-4417-b085-57694c7a9921+b62ee46a-ef7f-44ad-99c0-6d9b75462a4b	782.000000	784.000000	2.000000	0.052632	1.102413
29fd9e06-d6c7-47d4-9171-6d272f4eb682+fae7e380-065f-4665-a980-07f7da2396eb	a5a2c5e4-eff9-4830-8a27-c030ca79a41a+5a8de067-ae95-4b87-8f2e-a608371bf51c	323.000000	331.000000	8.000000	0.080000	1.099951
28aad481-4917-4009-a0f9-0bb576288c90+70af8928-b1c2-4ae0-8d92-86c66e8ade43	2aa3091a-c56b-46cc-be95-34bb955758d3	654.000000	656.000000	2.000000	0.048780	1.094730
f9f77e33-ebe2-44db-940e-4f016f739074	80b4e1a0-94b1-499d-9c85-4c532a2f4501+4c29410c-8525-48f9-9a0c-bb4fe0748ee7	409.000000	417.000000	8.000000	0.076923	1.094116
9655f95d-bb6c-4dbc-9776-09954271b626+39a7e237-5364-4dc7-b205-b4389701cf8f	ce7bd9a9-90db-4bda-a34b-a2830c2a0c71	363.000000	367.000000	4.000000	0.051282	1.089618
4624152e-6eea-45ac-bf4d-b98a9c855532+de607b08-77ac-47df-a859-4d6839e97407	27575df1-a8f3-48dd-ad82-60c8da4f9500+d1b34a08-a532-401c-a066-ead591721a81	1442.000000	1453.000000	11.000000	0.100000	1.081080
e7e38e52-d07c-4ede-9ce5-a963b7a351d2+692e15e6-2b15-4855-be62-8d1d75608c72	317a4fa5-7d6b-42e3-8f27-dcb9bc07aa28+bf0d6f03-427a-4304-9829-1caba7d578c3	276.000000	290.000000	14.000000	0.140351	1.078950
0e983ee6-3909-45f8-8b10-7fdc924e4825+f6e47be1-d1b5-4321-9b0e-c3632cd437aa	e610682b-febf-444d-88cd-ba449fe08249+9925fd6a-dd07-44ae-bab1-97c8286f83f4	1015.000000	1028.000000	13.000000	0.125000	1.078648
143352ed-1879-467e-9cd7-9c85ff0fecc1	df017af7-8ff6-4f13-9c53-7a9a1086ca22+5018c710-5824-415e-9069-598162ca53cd	1113.000000	1119.000000	6.000000	0.040000	1.049572
ab38281a-99d5-4ae6-8613-1902525ddaae+bb54278b-fe8c-4a98-8386-a5c737ed0c00	f90e215d-ac59-4a71-93d1-7b719df620fc+8b4d33b7-e536-48bc-9414-588ebf8adf0f	1830.000000	1835.000000	5.000000	0.034483	1.048610
a890e769-e2f5-46e7-9fcd-4e247f4dc86c	3eb6e251-5c6c-4bcd-9d84-30981496ca1b+1081fa05-e39b-4242-a22e-285b875f128c	843.000000	851.000000	8.000000	0.050633	1.044257
810cfd5e-86e0-4c3d-8910-101e5c41eb7c	ecc7e222-c10e-466e-a0b0-bf7c906786f6+16b5478c-a9c8-489e-b36e-74839d2ffe4b	705.000000	722.000000	17.000000	0.170213	1.041812
bfee0b3f-f6d8-4f0b-a2b6-9790114249ab+a38a05fb-1f5c-4335-a178-4add07670274	87fcb001-1c0c-462c-9332-e866d113b041	1658.000000	1668.000000	10.000000	0.066667	1.040525
7e7fddcf-ed07-4ab5-9e0c-b5c6c5a1e43b	ad413036-7819-48ac-9d8f-4a29933b381c+a6ff3532-8b02-4026-98d0-48260462a69d	583.000000	596.000000	13.000000	0.100000	1.035502
9d98abe7-28a0-409c-ac90-bf328c85a5d4	392ec4e4-4772-4917-9f97-8cc7712947cd+9417c4e4-6175-47fd-a671-4febe2880c13	224.000000	233.000000	9.000000	0.048780	1.025049
78789b53-4982-44e8-b53c-067923c1d101+56640e8a-0f33-4d22-b2fa-43610074360a	19ea1043-07ba-4944-a647-68572ad533f0	1890.000000	1901.000000	11.000000	0.059701	1.008470
4b626907-e4b9-44e0-8124-835f1ea9024c+e43f9fd0-fc68-418b-834a-85bdcf9e2b34	6849506c-866d-450c-b271-c830b0793c5c	815.000000	823.000000	8.000000	0.028846	1.002940
