from_link_id	to_link_id	strength_ll	contrib	distance	lexical
a890e769-e2f5-46e7-9fcd-4e247f4dc86c	3eb6e251-5c6c-4bcd-9d84-30981496ca1b+1081fa05-e39b-4242-a22e-285b875f128c	0.520253	0.426432	8.000000	0.050633
0ed74c20-a5eb-45bc-b3dc-d2365666d9ca	c4bed78f-1ed0-48c9-a3a3-e5842de9e740+f3059f31-259b-498e-b86d-f8ef10734d40	0.572919	1.093819	7.000000	0.000000
2c4d26f2-f2db-463e-b959-d09d75170dd2	b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77	1.046356	3.240359	1.000000	0.071429
a410e71c-c792-44ed-9c56-5e2ccfc55de2+1a756abd-317c-42eb-af6b-28ff17a610a3	b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77	0.550000	2.379612	8.000000	0.125000
3736c7b2-3055-42cf-8eaa-09554311ba65+42826b9f-abfa-479c-b6a7-f89792892c56	b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77	0.714620	1.518635	6.000000	0.117647
557e249e-1266-4ff6-8e3e-e26698f055f3+12cb132b-8882-458f-9dfb-378dfd40da62	bbae1c6c-7c71-4f53-9a2f-b8a5f4ee03ec+9c7521da-ffdd-49cd-a644-e77d5928689e	0.986037	2.151720	3.000000	0.125000
f90e215d-ac59-4a71-93d1-7b719df620fc+8b4d33b7-e536-48bc-9414-588ebf8adf0f	ab38281a-99d5-4ae6-8613-1902525ddaae+bb54278b-fe8c-4a98-8386-a5c737ed0c00	0.758042	1.451012	5.000000	0.034483
143352ed-1879-467e-9cd7-9c85ff0fecc1	df017af7-8ff6-4f13-9c53-7a9a1086ca22+5018c710-5824-415e-9069-598162ca53cd	0.674048	1.598565	6.000000	0.040000
e6ee28a6-b0e0-42f7-9aab-39026189a4e6	ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701	0.989797	2.313096	1.000000	0.000000
0f88535c-8ffa-419d-a064-bf455b3c10a6	ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701	0.708149	1.253206	6.000000	0.105263
b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701	0.545714	1.055150	8.000000	0.114286
b66188ab-1a66-4365-8cbe-5cdaf69317e3+1bd320eb-7115-40b1-81e9-c10f717f3f75	4075e064-ec4e-4481-a413-25531b3c6b22+e7d5d9c9-ed6c-41b5-a56b-1df5a1dcd45b	0.578873	1.668696	8.000000	0.197183
dc6d1d3f-9a9d-464d-a7ea-b2ee45a8fcb8	4075e064-ec4e-4481-a413-25531b3c6b22+e7d5d9c9-ed6c-41b5-a56b-1df5a1dcd45b	0.505634	0.986145	8.000000	0.014085
837e10f6-7136-4bfb-8df9-37d4697ce9ef	a8361df1-5565-4c5e-8237-7b513c56a7d2+728b49ba-def7-47b8-b21d-efa5b6fb603c	0.525000	0.632387	8.000000	0.062500
80b4e1a0-94b1-499d-9c85-4c532a2f4501+4c29410c-8525-48f9-9a0c-bb4fe0748ee7	9997e5c8-75f5-4208-946e-2c74d1eb281e+1e41597e-500f-4990-9d64-adca4df366b1	1.061538	2.998479	0.000000	0.076923
f9f77e33-ebe2-44db-940e-4f016f739074	9997e5c8-75f5-4208-946e-2c74d1eb281e+1e41597e-500f-4990-9d64-adca4df366b1	0.500000	0.683005	8.000000	0.000000
d27bfdfb-29ef-4a7a-b5ce-70853b7ac2c6	561be1e9-150c-46db-b28b-568c5a463d65+b741aaa0-7f69-44be-a50e-801ececef9ec	1.039286	5.367634	1.000000	0.062500
a2583c9b-e055-443f-9222-19f9fc85b011	561be1e9-150c-46db-b28b-568c5a463d65+b741aaa0-7f69-44be-a50e-801ececef9ec	0.989797	5.024251	1.000000	0.000000
39f95dbf-f3eb-459b-b975-bfc122149628	97cd543b-5739-40a5-9ae0-923287957b10+6bf0b560-ed82-4c44-b8ce-14300bcfe835	0.801493	1.176395	5.000000	0.108108
cf7d3705-d177-493c-8ebb-ba3510bc6e8d+18b83170-3fbb-4c4a-bc13-8aaed6f4583c	ff03fb47-7b7e-4f22-98b9-cb065aae0717+a3c5afb5-1805-4c50-9d26-7fec7046d4f8	0.691852	2.173680	6.000000	0.074074
3d552445-b5e3-4cf5-8085-37210ceabfee+6eaafc35-86c6-439f-9520-7b4a245da7de	4027bd9e-2216-469d-bb61-d277920cd9cd+a465dcf6-f9b6-4d3b-adeb-0799959e793f	1.019782	2.840857	2.000000	0.085106
1662ebf6-5901-491a-b17d-9a1267f81884	4c51bc38-f31d-419c-8ac8-16e90002b472+11cd8d35-9d20-496d-937e-6e48e1f04829	0.737692	2.463683	5.000000	0.000000
5d965d81-5804-4d15-8fe3-dadc46eb4efe+16553bf2-bb59-4894-aa63-b80a1714351e	b69643cf-0cce-494c-8041-bd4804448530+faac8167-3685-4d60-8894-aee15d2a1f1b	1.023254	3.048254	1.000000	0.042254
a8e838f2-ba3d-4fb0-af62-665fec8bcf96+3abdfa03-f873-4812-b7b9-c49962afa844	b69643cf-0cce-494c-8041-bd4804448530+faac8167-3685-4d60-8894-aee15d2a1f1b	0.886038	1.902645	4.000000	0.098592
17dcd45c-be78-4194-bfe3-de8d4251350d+69a39a55-f465-46fe-8f63-6e8f797315f5	9511bbc6-c62e-4a72-bb17-93226565e37c+71c967d2-b3c3-4bed-9dad-2ce78db74e81	0.821262	4.552744	4.000000	0.000000
50c01b24-070c-4398-be08-dd799ac54102+7ea93f3d-d20a-48bc-806f-e24055e0e0e5	9511bbc6-c62e-4a72-bb17-93226565e37c+71c967d2-b3c3-4bed-9dad-2ce78db74e81	0.714620	3.666089	6.000000	0.117647
db75e17f-8e71-45f3-91cb-9fa95513fee8+fbab2af1-9abf-4d96-9e2d-638a3449585b	d65b533c-c642-492a-a3dc-126cc9df2241+c6124ba7-a17f-42c0-8154-986b980c93a3	1.066667	2.701937	0.000000	0.083333
069e0fa3-2d68-45a5-a577-83b06df27082	d65b533c-c642-492a-a3dc-126cc9df2241+c6124ba7-a17f-42c0-8154-986b980c93a3	0.821262	2.124004	4.000000	0.000000
629985c0-a2a0-47c4-9c70-f27d246e2aca	d65b533c-c642-492a-a3dc-126cc9df2241+c6124ba7-a17f-42c0-8154-986b980c93a3	0.777036	0.997686	5.000000	0.066667
fb288f03-d57d-4971-9c22-20d0574ecc34	45b99f2c-d2a3-4417-b085-57694c7a9921+b62ee46a-ef7f-44ad-99c0-6d9b75462a4b	0.994977	1.467014	2.000000	0.052632
da52fa2a-ba7e-4289-a117-cb3c8fcdc564	a84962ad-9529-4465-b41d-fb487bb567f4+cca70865-5cff-4187-aa50-56ed93e76192	1.065210	2.759984	1.000000	0.095238
4a842049-b5e1-4379-90e4-0ab8f20aec40	ff491b3c-084f-421c-8e2f-49208a633b0a+d9e864a3-ecf6-4438-b2d7-3291146cd19b	0.989797	1.782800	1.000000	0.000000
9392d3b2-1dc9-4a6c-b90f-0d0ad44277ef	ff491b3c-084f-421c-8e2f-49208a633b0a+d9e864a3-ecf6-4438-b2d7-3291146cd19b	0.835241	1.766623	4.000000	0.021277
2fa402e6-936e-46d7-8d21-eb117a77c395	d4026618-d785-4797-ba4b-f5348b35a9ac+81a0ba3d-6a0c-44d4-b733-fa4baf7499bc	0.916887	5.327378	3.000000	0.028571
33d26595-933d-4fea-8783-66e9f787a6f8+808d34d4-3c48-4347-a1f5-886c8d8c0101	d4026618-d785-4797-ba4b-f5348b35a9ac+81a0ba3d-6a0c-44d4-b733-fa4baf7499bc	1.035044	4.436999	1.000000	0.057143
342aad81-bb41-4643-9859-e8c221826d32+96e9866d-d6a9-4aed-b025-18c33eeb98bd	d4026618-d785-4797-ba4b-f5348b35a9ac+81a0ba3d-6a0c-44d4-b733-fa4baf7499bc	0.572919	4.112723	7.000000	0.000000
7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2	400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7	0.989797	4.260648	1.000000	0.000000
b3ec63f0-4fe4-4b40-a1ee-3fbda184a07c+0b3f7ee5-9a0a-46b2-87d5-142c9d9280bf	400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7	0.849828	3.099205	4.000000	0.043478
271e453f-9948-48b0-94cf-fdf28eede70b	400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7	0.675865	2.101602	6.000000	0.043478
5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d+2a9b7233-64c2-4d35-9c74-efcabd60494d	400bdd3c-77cb-4f41-849c-92dfa4c24032+c23f6842-bcb5-4c38-9119-ef8494f6e5d7	0.627195	1.956977	7.000000	0.118421
0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936	392ec4e4-4772-4917-9f97-8cc7712947cd+9417c4e4-6175-47fd-a671-4febe2880c13	0.989797	3.156149	1.000000	0.000000
9d237644-f20e-49ec-8bda-7030dacec0c2	392ec4e4-4772-4917-9f97-8cc7712947cd+9417c4e4-6175-47fd-a671-4febe2880c13	1.019512	3.025250	0.000000	0.024390
17dcd45c-be78-4194-bfe3-de8d4251350d+69a39a55-f465-46fe-8f63-6e8f797315f5	50c01b24-070c-4398-be08-dd799ac54102+7ea93f3d-d20a-48bc-806f-e24055e0e0e5	0.954776	5.292889	2.000000	0.000000
9511bbc6-c62e-4a72-bb17-93226565e37c+71c967d2-b3c3-4bed-9dad-2ce78db74e81	50c01b24-070c-4398-be08-dd799ac54102+7ea93f3d-d20a-48bc-806f-e24055e0e0e5	0.714620	3.144468	6.000000	0.117647
75d7cd90-8c1c-4fbd-a488-34c22074c469	6d45a15f-999b-4602-9caf-91651e97750b+03466c7b-c9e4-48dd-b764-6d68b02049c5	0.804188	1.691584	5.000000	0.112676
f6af0064-6af4-4531-af1f-4dd901dfe895	4eea71d1-20f3-46af-8d16-3e242ce9ad14+f55b33d7-d96a-41fb-ba84-56af1e27e71b	0.737692	1.150585	5.000000	0.000000
ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701	b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	0.545714	1.346325	8.000000	0.114286
e6ee28a6-b0e0-42f7-9aab-39026189a4e6	b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	0.572919	1.338877	7.000000	0.000000
554aba7c-6e38-4652-ba21-7fc873169eb1	b317171a-d940-4f08-b27c-ffe176461996+a8d073f6-cb82-4569-a6ea-be5c14642bf2	0.653147	1.050219	6.000000	0.000000
