link_id	mass_base	mass_prev	mass_new	boost	tier_prev	tier_new	top_contributor_link_id
3eb6e251-5c6c-4bcd-9d84-30981496ca1b+1081fa05-e39b-4242-a22e-285b875f128c	2.129	2.129	2.470	0.341	link	link	a890e769-e2f5-46e7-9fcd-4e247f4dc86c
c4bed78f-1ed0-48c9-a3a3-e5842de9e740+f3059f31-259b-498e-b86d-f8ef10734d40	1.274	1.274	2.149	0.875	link	link	0ed74c20-a5eb-45bc-b3dc-d2365666d9ca
b0175a00-c65b-4365-8256-f3e6fecfbf7b+7026143c-2ae1-4ed3-98b7-9cb859da4e77	4.260	4.260	9.971	5.711	link	link	2c4d26f2-f2db-463e-b959-d09d75170dd2
c24adfe9-c04e-4deb-9805-2f6d8122310c+af90305c-8bec-4bd5-8d59-abece52b2cfe	4.077	4.077	4.077	0.000	link	link	
bbae1c6c-7c71-4f53-9a2f-b8a5f4ee03ec+9c7521da-ffdd-49cd-a644-e77d5928689e	1.745	1.745	3.466	1.721	link	link	557e249e-1266-4ff6-8e3e-e26698f055f3+12cb132b-8882-458f-9dfb-378dfd40da62
d95fe032-6714-419d-9c1f-5d7c8db14766+ba721fdf-eb75-4c27-b520-dfe419417cd2	2.579	2.579	2.579	0.000	link	link	
ab38281a-99d5-4ae6-8613-1902525ddaae+bb54278b-fe8c-4a98-8386-a5c737ed0c00	1.388	1.388	2.549	1.161	link	link	f90e215d-ac59-4a71-93d1-7b719df620fc+8b4d33b7-e536-48bc-9414-588ebf8adf0f
df017af7-8ff6-4f13-9c53-7a9a1086ca22+5018c710-5824-415e-9069-598162ca53cd	2.548	2.548	3.827	1.279	link	link	143352ed-1879-467e-9cd7-9c85ff0fecc1
ac0c96bc-53f4-4fe5-ba71-196cfa3298e1+f5e4da7f-221b-40cc-b710-7103af011701	2.467	2.467	6.164	3.697	link	link	e6ee28a6-b0e0-42f7-9aab-39026189a4e6
4075e064-ec4e-4481-a413-25531b3c6b22+e7d5d9c9-ed6c-41b5-a56b-1df5a1dcd45b	3.817	3.817	5.941	2.124	link	link	b66188ab-1a66-4365-8cbe-5cdaf69317e3+1bd320eb-7115-40b1-81e9-c10f717f3f75
a8361df1-5565-4c5e-8237-7b513c56a7d2+728b49ba-def7-47b8-b21d-efa5b6fb603c	1.838	1.838	2.344	0.506	link	link	837e10f6-7136-4bfb-8df9-37d4697ce9ef
9997e5c8-75f5-4208-946e-2c74d1eb281e+1e41597e-500f-4990-9d64-adca4df366b1	2.781	2.781	5.726	2.945	link	link	80b4e1a0-94b1-499d-9c85-4c532a2f4501+4c29410c-8525-48f9-9a0c-bb4fe0748ee7
