from_link_id	to_link_id	strength_ll	contrib	distance	lexical
29826d4e-37ee-4b03-8b89-7981b1a547ae	bcbd6ab4-b034-4580-9903-77d39c560e29	0.716869	0.472323	6.000000	0.121951
14dc04ff-9dfe-4411-91d2-fb38e6e04ab3	bcbd6ab4-b034-4580-9903-77d39c560e29	0.500000	0.356924	8.000000	0.000000
2aa3091a-c56b-46cc-be95-34bb955758d3	70af8928-b1c2-4ae0-8d92-86c66e8ade43	0.876013	0.839852	4.000000	0.083333
f7f71261-f682-49fc-835a-7ab51bc31df3	70af8928-b1c2-4ae0-8d92-86c66e8ade43	0.653147	0.428434	6.000000	0.000000
28aad481-4917-4009-a0f9-0bb576288c90	70af8928-b1c2-4ae0-8d92-86c66e8ade43	0.702133	0.420642	6.000000	0.093750
39f95dbf-f3eb-459b-b975-bfc122149628	6bf0b560-ed82-4c44-b8ce-14300bcfe835	0.681391	0.366983	6.000000	0.054054
a8361df1-5565-4c5e-8237-7b513c56a7d2	6bf0b560-ed82-4c44-b8ce-14300bcfe835	0.600696	0.353667	7.000000	0.060606
f3676488-3272-4ede-ae3a-52c8f60c6024	9cf30066-f9a0-4abe-b138-bee0e74aa87f	0.587704	0.370424	7.000000	0.032258
42826b9f-abfa-479c-b6a7-f89792892c56	7026143c-2ae1-4ed3-98b7-9cb859da4e77	0.873882	1.664111	5.000000	0.230769
b0175a00-c65b-4365-8256-f3e6fecfbf7b	7026143c-2ae1-4ed3-98b7-9cb859da4e77	1.091975	0.941536	3.000000	0.272727
a410e71c-c792-44ed-9c56-5e2ccfc55de2	7026143c-2ae1-4ed3-98b7-9cb859da4e77	0.836051	0.787373	5.000000	0.166667
2c4d26f2-f2db-463e-b959-d09d75170dd2	7026143c-2ae1-4ed3-98b7-9cb859da4e77	0.821262	0.670354	4.000000	0.000000
7026143c-2ae1-4ed3-98b7-9cb859da4e77	42826b9f-abfa-479c-b6a7-f89792892c56	0.873882	1.094746	5.000000	0.230769
a410e71c-c792-44ed-9c56-5e2ccfc55de2	42826b9f-abfa-479c-b6a7-f89792892c56	1.100000	1.035954	0.000000	0.125000
1a756abd-317c-42eb-af6b-28ff17a610a3	42826b9f-abfa-479c-b6a7-f89792892c56	0.737692	0.589758	5.000000	0.000000
b0175a00-c65b-4365-8256-f3e6fecfbf7b	42826b9f-abfa-479c-b6a7-f89792892c56	0.530769	0.457646	8.000000	0.076923
96e9866d-d6a9-4aed-b025-18c33eeb98bd	4d9f08a7-ba5a-42a3-a315-d64fa75b0592	0.572919	0.699802	7.000000	0.000000
d7052d4e-4f81-4f6c-b8b1-2a02e6533196	4d9f08a7-ba5a-42a3-a315-d64fa75b0592	0.821262	0.679182	4.000000	0.000000
4027bd9e-2216-469d-bb61-d277920cd9cd	3d552445-b5e3-4cf5-8085-37210ceabfee	1.033792	0.901478	2.000000	0.103448
127a04fa-253a-4ddf-84d4-f1faa20206b2	f2329d2b-488e-463a-848e-f1206289b5d8	0.836905	1.529369	4.000000	0.023810
cca70865-5cff-4187-aa50-56ed93e76192	f2329d2b-488e-463a-848e-f1206289b5d8	0.894263	0.814430	4.000000	0.111111
de607b08-77ac-47df-a859-4d6839e97407	27575df1-a8f3-48dd-ad82-60c8da4f9500	0.611113	0.451025	7.000000	0.083333
d1b34a08-a532-401c-a066-ead591721a81	27575df1-a8f3-48dd-ad82-60c8da4f9500	0.585650	0.415048	7.000000	0.027778
81d4d1d4-0962-49ed-a610-319e3d5fc044	9ed37619-2f42-4627-ac53-0e0768eb1e7d	1.010665	1.214851	2.000000	0.073171
9ed37619-2f42-4627-ac53-0e0768eb1e7d	81d4d1d4-0962-49ed-a610-319e3d5fc044	1.010665	1.168487	2.000000	0.073171
17dcd45c-be78-4194-bfe3-de8d4251350d	9511bbc6-c62e-4a72-bb17-93226565e37c	0.821262	1.519671	4.000000	0.000000
117d3999-59c8-475a-aafd-5bac1142cbb7	9511bbc6-c62e-4a72-bb17-93226565e37c	0.915121	0.916461	4.000000	0.142857
50c01b24-070c-4398-be08-dd799ac54102	9511bbc6-c62e-4a72-bb17-93226565e37c	0.709131	0.714631	6.000000	0.107143
69a39a55-f465-46fe-8f63-6e8f797315f5	9511bbc6-c62e-4a72-bb17-93226565e37c	0.572919	0.601445	7.000000	0.000000
33d70d59-662d-4ee6-aed1-f90dd058575f	20295f0e-9fce-4ccc-85d2-099cee61af98	0.975420	0.676940	2.000000	0.027027
046f0c43-26c3-447e-a8ba-65200700370f	53a19fab-3153-455b-b473-a23d83831401	0.682176	0.388880	6.000000	0.055556
d27bfdfb-29ef-4a7a-b5ce-70853b7ac2c6	ca30e772-7096-40eb-98d4-68051c0ec949	0.587242	1.053743	7.000000	0.031250
a2583c9b-e055-443f-9222-19f9fc85b011	ca30e772-7096-40eb-98d4-68051c0ec949	0.756134	0.778192	5.000000	0.031250
561be1e9-150c-46db-b28b-568c5a463d65	ca30e772-7096-40eb-98d4-68051c0ec949	0.718462	0.714676	6.000000	0.125000
554aba7c-6e38-4652-ba21-7fc873169eb1	0ed74c20-a5eb-45bc-b3dc-d2365666d9ca	0.653147	0.543241	6.000000	0.000000
f3059f31-259b-498e-b86d-f8ef10734d40	0ed74c20-a5eb-45bc-b3dc-d2365666d9ca	0.896398	0.415513	3.000000	0.000000
c4bed78f-1ed0-48c9-a3a3-e5842de9e740	0ed74c20-a5eb-45bc-b3dc-d2365666d9ca	0.572919	0.264726	7.000000	0.000000
1feb00fb-8501-4970-96ac-ca2ad7f9777c	bd241144-4f27-448b-8972-d50b6e4c2e18	0.653147	0.818651	6.000000	0.000000
f2329d2b-488e-463a-848e-f1206289b5d8	127a04fa-253a-4ddf-84d4-f1faa20206b2	0.836905	1.031743	4.000000	0.023810
cca70865-5cff-4187-aa50-56ed93e76192	127a04fa-253a-4ddf-84d4-f1faa20206b2	1.057143	0.962768	0.000000	0.071429
9417c4e4-6175-47fd-a671-4febe2880c13	0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936	0.954776	1.168438	2.000000	0.000000
9d237644-f20e-49ec-8bda-7030dacec0c2	0d1cf4a4-5d9a-4d6a-8f70-585d42cd9936	0.989797	0.683763	1.000000	0.000000
