left_id	right_id	left_center	right_center	center_distance	lexical_score	strength_bridge
3eb6e251-5c6c-4bcd-9d84-30981496ca1b	1081fa05-e39b-4242-a22e-285b875f128c	851.000000	852.000000	1.000000	0.333333	1.665729
c4bed78f-1ed0-48c9-a3a3-e5842de9e740	f3059f31-259b-498e-b86d-f8ef10734d40	1991.000000	1995.000000	4.000000	0.333333	1.647097
b0175a00-c65b-4365-8256-f3e6fecfbf7b	7026143c-2ae1-4ed3-98b7-9cb859da4e77	1212.000000	1215.000000	3.000000	0.272727	1.535765
c24adfe9-c04e-4deb-9805-2f6d8122310c	af90305c-8bec-4bd5-8d59-abece52b2cfe	346.000000	348.000000	2.000000	0.266667	1.529379
bbae1c6c-7c71-4f53-9a2f-b8a5f4ee03ec	9c7521da-ffdd-49cd-a644-e77d5928689e	1569.000000	1580.000000	11.000000	0.333333	1.501500
d95fe032-6714-419d-9c1f-5d7c8db14766	ba721fdf-eb75-4c27-b520-dfe419417cd2	1588.000000	1590.000000	2.000000	0.233333	1.462884
ab38281a-99d5-4ae6-8613-1902525ddaae	bb54278b-fe8c-4a98-8386-a5c737ed0c00	1830.000000	1836.000000	6.000000	0.250000	1.457738
df017af7-8ff6-4f13-9c53-7a9a1086ca22	5018c710-5824-415e-9069-598162ca53cd	1119.000000	1127.000000	8.000000	0.266667	1.453958
ac0c96bc-53f4-4fe5-ba71-196cfa3298e1	f5e4da7f-221b-40cc-b710-7103af011701	2018.000000	2025.000000	7.000000	0.250000	1.441343
4075e064-ec4e-4481-a413-25531b3c6b22	e7d5d9c9-ed6c-41b5-a56b-1df5a1dcd45b	1869.000000	1871.000000	2.000000	0.217391	1.431082
a8361df1-5565-4c5e-8237-7b513c56a7d2	728b49ba-def7-47b8-b21d-efa5b6fb603c	884.000000	887.000000	3.000000	0.212121	1.415312
9997e5c8-75f5-4208-946e-2c74d1eb281e	1e41597e-500f-4990-9d64-adca4df366b1	417.000000	418.000000	1.000000	0.200000	1.399213
561be1e9-150c-46db-b28b-568c5a463d65	b741aaa0-7f69-44be-a50e-801ececef9ec	1711.000000	1714.000000	3.000000	0.200000	1.391222
988c05d5-c93f-47d9-8d49-816f72aa9ccf	117d3999-59c8-475a-aafd-5bac1142cbb7	1486.000000	1491.000000	5.000000	0.192308	1.358249
97cd543b-5739-40a5-9ae0-923287957b10	6bf0b560-ed82-4c44-b8ce-14300bcfe835	866.000000	877.000000	11.000000	0.250000	1.351350
